county,population_est,average_wages,ev_count, ev_penetration_rate ,ev
ADAMS,55010,65042,99, 1.80 , 1.80 
ASOTIN,53965,69107,99, 1.83 , 1.83 
BENTON,620895,87316,3468, 5.59 , 5.59 
CHELAN,214155,78306,1601, 7.48 , 7.48 
CLALLAM,189575,67999,1558, 8.22 , 8.22 
CLARK,1381450,94948,15644, 11.32 , 11.32 
COLUMBIA,10460,71528,22, 2.10 , 2.10 
COWLITZ,292295,72932,1343, 4.59 , 4.59 
DOUGLAS,110785,80374,572, 5.16 , 5.16 
FERRY,15700,54650,44, 2.80 , 2.80 
FRANKLIN,295215,82755,1042, 3.53 , 3.53 
GARFIELD,5995,62411,4, 0.67 , 0.67 
GRANT,271515,71115,960, 3.54 , 3.54 
GRAYS HARBOR,203780,63539,972, 4.77 , 4.77 
ISLAND,205450,88358,2831, 13.78 , 13.78 
JEFFERSON,78230,71143,1334, 17.05 , 17.05 
KING,6984875,122148,128270, 18.36 , 18.36 
KITSAP,681590,98546,8651, 12.69 , 12.69 
KITTITAS,124445,69928,936, 7.52 , 7.52 
KLICKITAT,54045,70400,458, 8.47 , 8.47 
LEWIS,205885,69690,1136, 5.52 , 5.52 
LINCOLN,28095,71227,79, 2.81 , 2.81 
MASON,146010,78359,1266, 8.67 , 8.67 
OKANOGAN,103410,60293,391, 3.78 , 3.78 
PACIFIC,55620,62350,308, 5.54 , 5.54 
PEND OREILLE,31100,63750,88, 2.83 , 2.83 
PIERCE,2428950,96632,21314, 8.77 , 8.77 
SAN JUAN,39845,83682,1217, 30.54 , 30.54 
SKAGIT,350420,85474,3015, 8.60 , 8.60 
SKAMANIA,26885,90085,249, 9.26 , 9.26 
SNOHOMISH,2242145,107982,31809, 14.19 , 14.19 
SPOKANE,1530085,73513,7247, 4.74 , 4.74 
STEVENS,105680,67405,321, 3.04 , 3.04 
THURSTON,780655,93985,9344, 11.97 , 11.97 
WAHKIAKUM,9680,57091,89, 9.19 , 9.19 
WALLA WALLA,174075,72212,700, 4.02 , 4.02 
WHATCOM,626690,80989,6297, 10.05 , 10.05 
WHITMAN,142385,52893,525, 3.69 , 3.69 
YAKIMA,703995,68015,1724, 2.45 , 2.45 
