County,Value
Whitman,52893
Ferry,54650
Wahkiakum,57091
Okanogan,60293
Pacific,62350
Garfield,62411
Grays Harbor,63539
Pend Oreille,63750
Adams,65042
Stevens,67405
Clallam,67999
Yakima,68015
Asotin,69107
Lewis,69690
Kittitas,69928
Klickitat,70400
Grant,71115
Jefferson,71143
Lincoln,71227
Columbia,71528
Walla Walla,72212
Cowlitz,72932
Spokane,73513
Chelan,78306
Mason,78359
Douglas,80374
Whatcom,80989
Franklin,82755
San Juan,83682
Skagit,85474
Benton,87316
Island,88358
Skamania,90085
Thurston,93985
Clark,94948
Pierce,96632
Kitsap,98546
Snohomish,107982
King,122148
