COUNTY,POP_2025
Adams,55010
Asotin,53965
Benton,620895
Chelan,214155
Clallam,189575
Clark,1381450
Columbia,10460
Cowlitz,292295
Douglas,110785
Ferry,15700
Franklin,295215
Garfield,5995
Grant,271515
Grays Harbor,203780
Island,205450
Jefferson,78230
King,6984875
Kitsap,681590
Kittitas,124445
Klickitat,54045
Lewis,205885
Lincoln,28095
Mason,146010
Okanogan,103410
Pacific,55620
Pend Oreille,31100
Pierce,2428950
San Juan,39845
Skagit,350420
Skamania,26885
Snohomish,2242145
Spokane,1530085
Stevens,105680
Thurston,780655
Wahkiakum,9680
Walla Walla,174075
Washington,16230200
Whatcom,626690
Whitman,142385
Yakima,703995
